Main Dataset,Subsequence,Total Frame Number,FMO Exists Frame Number,Object Size Levels
Falling_Object,v_box_GTgamma,62,22,{'medium': 22}
Falling_Object,v_cell_GTgamma,62,14,{'medium': 14}
Falling_Object,v_key_GTgamma,62,19,{'medium': 19}
Falling_Object,v_marker_GTgamma,62,11,{'medium': 11}
Falling_Object,v_pen_GTgamma,62,13,"{'large': 8, 'medium': 5}"
Falling_Object,v_rubber_GTgamma,62,15,{'medium': 15}
TbD-3D,HighFPS_GT_depth2,48,48,"{'large': 2, 'medium': 46}"
TbD-3D,HighFPS_GT_depthb2,81,81,{'medium': 81}
TbD-3D,HighFPS_GT_depthf1,46,46,{'medium': 46}
TbD-3D,HighFPS_GT_depthf2,50,50,{'medium': 50}
TbD-3D,HighFPS_GT_depthf3,37,37,{'medium': 37}
TbD-3D,HighFPS_GT_out1,57,57,"{'large': 1, 'medium': 56}"
TbD-3D,HighFPS_GT_out2,50,50,{'medium': 50}
TbD-3D,HighFPS_GT_outa1,47,47,"{'large': 14, 'medium': 33}"
TbD-3D,HighFPS_GT_outb1,41,41,{'medium': 41}
TbD-3D,HighFPS_GT_outf1,60,60,{'medium': 60}
TbD,fall_coin,24,24,"{'extremely_tiny': 14, 'medium': 3, 'small': 5, 'tiny': 2}"
TbD,fall_cube,28,28,"{'extremely_tiny': 17, 'medium': 4, 'small': 2, 'tiny': 5}"
TbD,hit_tennis,57,57,"{'extremely_tiny': 47, 'small': 1, 'tiny': 9}"
TbD,hit_tennis2,26,26,"{'extremely_tiny': 4, 'medium': 3, 'small': 5, 'tiny': 14}"
TbD,ping_wall,67,67,"{'extremely_tiny': 2, 'large': 1, 'medium': 44, 'small': 15, 'tiny': 5}"
TbD,throw_floor,73,73,"{'extremely_tiny': 44, 'large': 1, 'medium': 15, 'small': 6, 'tiny': 7}"
TbD,throw_soft,75,75,"{'extremely_tiny': 38, 'large': 1, 'medium': 13, 'small': 16, 'tiny': 7}"
TbD,throw_tennis,71,71,"{'extremely_tiny': 27, 'medium': 16, 'small': 19, 'tiny': 9}"
TbD,VS_badminton_white_GX010058-8,125,125,"{'extremely_tiny': 36, 'medium': 6, 'small': 27, 'tiny': 56}"
TbD,VS_badminton_yellow_GX010060-8,125,125,"{'extremely_tiny': 36, 'medium': 7, 'small': 19, 'tiny': 63}"
TbD,VS_pingpong_GX010051-8,95,95,"{'extremely_tiny': 13, 'small': 36, 'tiny': 46}"
TbD,VS_roll_golf-gc-12,16,16,"{'extremely_tiny': 5, 'medium': 5, 'small': 3, 'tiny': 3}"
TbD,VS_tennis_GX010073-8,118,118,"{'extremely_tiny': 20, 'small': 66, 'tiny': 32}"
TbD,VS_volleyball_GX010068-12,72,72,"{'extremely_tiny': 31, 'medium': 5, 'small': 11, 'tiny': 25}"
FMOv2,atp_serves,655,644,"{'extremely_tiny': 1, 'small': 79, 'tiny': 383}"
FMOv2,blue,53,21,"{'large': 1, 'medium': 20}"
FMOv2,darts1,75,51,"{'large': 3, 'medium': 33}"
FMOv2,darts_window1,50,9,{'medium': 5}
FMOv2,frisbee,100,68,"{'large': 16, 'medium': 4}"
FMOv2,hockey,350,323,"{'extremely_tiny': 48, 'small': 6, 'tiny': 7}"
FMOv2,more_balls,300,287,"{'medium': 129, 'small': 1112, 'tiny': 49}"
FMOv2,ping_pong_paint,120,94,"{'medium': 68, 'small': 6, 'tiny': 1}"
FMOv2,ping_pong_side,445,444,"{'extremely_tiny': 2, 'medium': 172, 'small': 183, 'tiny': 79}"
FMOv2,ping_pong_top,350,350,"{'extremely_tiny': 1, 'large': 2, 'medium': 242, 'small': 59, 'tiny': 148}"
FMOv2,softball,96,35,"{'medium': 14, 'small': 13, 'tiny': 1}"
FMOv2,squash,250,242,"{'extremely_tiny': 129, 'tiny': 5}"
FMOv2,tennis1,116,91,"{'extremely_tiny': 63, 'tiny': 1}"
FMOv2,tennis2,278,274,"{'extremely_tiny': 151, 'small': 6, 'tiny': 62}"
FMOv2,tennis_serve_back,156,78,"{'extremely_tiny': 31, 'small': 10, 'tiny': 18}"
FMOv2,tennis_serve_side,68,35,"{'medium': 1, 'small': 12, 'tiny': 5}"
FMOv2,volleyball1,50,33,"{'large': 12, 'medium': 1}"
FMOv2,volleyball_passing,66,66,"{'large': 4, 'medium': 62}"
FMOv2,william_tell,119,67,"{'large': 7, 'medium': 7, 'small': 5, 'tiny': 1}"
